Word,Tags
"""",AD-NOUN
(eli,AD-NOUN
",",NOKTALAMA-PUNCTUATION
.,NOKTALAMA-PUNC|NOKTALAMA-PUNCTUATION
17,SIFAT-ADJECTIVE
39,SIFAT-ADJECTIVE
;,NOKTALAMA-PUNCTUATION
Abi,AD-NOUN
Acemi,SIFAT-ADJECTIVE
Acıya,AD-NOUN
Adam,AD-NOUN
Adayı,İSİM-NOUN
Adlî,SIFAT-ADJECTIVE
Aile,AD-NOUN
Ailece,AD-NOUN
Ailesinden,AD-NOUN
Ailesini,AD-NOUN
Ajan,AD-NOUN
Ajans,AD-NOUN
Aklı,AD-NOUN
Akrobat,AD-NOUN
Akşama,AD-NOUN
Ali,AD-NOUN
Ali'nin,AD-NOUN
Almaktan,FİİL-VERB
Altmış,SAYI-NUM
Altı,SAYI-NUM
Altın,AD-NOUN
Altışar,SAYI-NUM
Alıcı,AD-NOUN
Anahtar,AD-NOUN
Analist,AD-NOUN
Anayasa,AD-NOUN
Anayasada,AD-NOUN
Anayasanın,AD-NOUN
Anayasaya,AD-NOUN
Ancak,BAĞLAÇ-CONJ|BELİRTEÇ-ADVERB
Ankara'dan,AD-NOUN
Ankara'ya,AD-NOUN
Ankara’dır,AD-NOUN
Anketör,AD-NOUN
Anlaşma,AD-NOUN
Anne,AD-NOUN
Anneanne,AD-NOUN
Annem,AD-NOUN
Annemin,AD-NOUN
Annesi,AD-NOUN
Antrenör,AD-NOUN
Antropolog,AD-NOUN
Araba,AD-NOUN
Arabası,AD-NOUN
Arabayla,AD-NOUN
Araverme,AD-NOUN
Arkadaşlar,AD-NOUN
Arkadaşları,AD-NOUN
Arkadaşlarına,AD-NOUN
Arkadaşı,AD-NOUN
Arkadaşım,AD-NOUN
Arkadaşına,AD-NOUN
Arkadaşıyla,AD-NOUN
Arsa,AD-NOUN
Asistan,AD-NOUN
Asker,AD-NOUN
Askerler,AD-NOUN
Aslan,AD-NOUN
At,ADIL-PRONOUN
Ateş,AD-NOUN
Atlet,AD-NOUN
Atölyeye,AD-NOUN
Avcı,AD-NOUN
Avukat,AD-NOUN
Ay,AD-NOUN
Ayakları,AD-NOUN
Ayağı,AD-NOUN
Aylardır,AD-NOUN
Aynadaki,AD-NOUN
Aynanın,AD-NOUN
Aynı,SIFAT-ADJ
Ayrıca,BELİRTEÇ-ADVERB
Ayşe,AD-NOUN
Ayşe'nin,AD-NOUN
Ayşe'ye,AD-NOUN
Aç,SIFAT-ADJECTIVE
Ağacın,AD-NOUN
Ağaç,AD-NOUN
Ağaçlar,AD-NOUN
Ağlarken,FİİL-VERB
Ağrısı,AD-NOUN
Ağzından,AD-NOUN
Aşçı,AD-NOUN
Baba,AD-NOUN
Babam,AD-NOUN
Babası,AD-NOUN
Baca,AD-NOUN
Bacaklarıma,AD-NOUN
Bahar,AD-NOUN
Bahçede,AD-NOUN
Bahçıvan,AD-NOUN
Bakanlar,AD-NOUN
Bakanları,AD-NOUN
Bakanların,AD-NOUN
Bakanlıkların,AD-NOUN
Bakteriler,AD-NOUN
Balon,AD-NOUN
Balık,AD-NOUN
Balıkçı,AD-NOUN
Bana,ADIL-PRONOUN
Bardak,AD-NOUN
Basın,AD-NOUN
Bayrak,AD-NOUN
Bağıtların,AD-NOUN
Başarılı,SIFAT-ADJECTIVE
Başbakan,AD-NOUN
Başbakana,AD-NOUN
Başbakanca,AD-NOUN
Başbakanın,AD-NOUN
Başkan,AD-NOUN
Başkanlık,AD-NOUN
Başkanlığa,AD-NOUN
Başkanlığına,AD-NOUN
Başkanı,AD-NOUN
Başkent,AD-NOUN
Başkomutanlık,AD-NOUN
Başsavcılık,AD-NOUN
Başsavcısını,AD-NOUN
Başı,AD-NOUN
Bebek,AD-NOUN
Belgeyi,İSİM-NOUN
Belim,AD-NOUN
Ben,ADIL-PRONOUN
Beni,ADIL-PRONOUN|ZAMİR-PRON
Benzin,AD-NOUN
Beş,SAYI-NUM|SIFAT-ADJECTIVE
Beşer,SAYI-NUM
Bildiğin,SIFAT-ADJECTIVE
Bilim,AD-NOUN
Bina,AD-NOUN
Binadan,AD-NOUN
Binlerce,SAYI-NUM
Bir,BELİRLEYİCİ-DET|SAYI-NUM|SIFAT-ADJECTIVE
Biraz,BELİRTEÇ-ADVERB
Birkaç,SAYI-NUM
Birçok,SAYI-NUM
Biyolog,AD-NOUN
Biz,ADIL-PRONOUN
Bize,ADIL-PRONOUN
Boksör,AD-NOUN
Bomba,AD-NOUN
Borsacı,AD-NOUN
Boyacı,AD-NOUN
Boyu,AD-NOUN
Boğazına,AD-NOUN
Boğulacak,FİİL-VERB
Boğulan,SIFAT-ADJECTIVE
Bu,BELİRLEYİCİ-DET
Bugün,BELİRTEÇ-ADVERB
Bulutların,AD-NOUN
Buluşuyla,AD-NOUN
Bunun,ADIL-PRONOUN
Buraya,ADIL-PRONOUN
Buz,AD-NOUN
Bülbül,AD-NOUN
Bütçe,AD-NOUN
Bütün,BELİRLEYİCİ-DET
Büyük,AD-NOUN|SIFAT-ADJECTIVE
CEO,AD-NOUN
Cam,AD-NOUN
Cana,AD-NOUN
Canı,AD-NOUN
Canım,AD-NOUN
Canını,AD-NOUN
Cennet,AD-NOUN
Cerrah,AD-NOUN
Cevabı,İSİM-NOUN
Cinayetten,AD-NOUN
Cumhurbaşkanlığı,AD-NOUN
Cumhurbaşkanı,AD-NOUN
Cumhurbaşkanınca,AD-NOUN
Cumhurbaşkanını,AD-NOUN
Cumhurbaşkanının,AD-NOUN
Cumhuriyet,AD-NOUN
Cumhuriyeti,AD-NOUN
Cumhuriyetin,AD-NOUN
Cumhuriyetinin,AD-NOUN
Cumhuriyetçi,SIFAT-ADJECTIVE
Cümleyi,İSİM-NOUN
Daha,BELİRTEÇ-ADVERB
Dalgıç,AD-NOUN
Danışman,AD-NOUN
Danıştay,AD-NOUN
Danıştayın,AD-NOUN
Danıştay’dan,AD-NOUN
Dayım,AD-NOUN
Dağcı,AD-NOUN
Dağlar,AD-NOUN
Dede,AD-NOUN
